accountsservice 23.13.9-2
alacritty 0.13.2-2
alsa-firmware 1.2.4-3
android-apktool 2.9.3-1
android-studio 2023.3.1.19-1
arandr 0.1.11-3
archlinux-xdg-menu 0.7.6.6-1
arj 3.10.22-13
autorandr 1.15-1
azote 1.12.9-1
b43-fwcutter 019-4
base 3-2
base-devel 1-1
bash-completion 2.14.0-1
bash-language-server 5.3.4-1
bind 9.18.27-1
blueman 2.4.2-1
bluetooth-support 1-7
bridge-utils 1.7.1-2
brightnessctl 0.5.1-2
btop 1.3.2-1
btrfs-assistant 2.1.1-1
btrfs-progs 6.8.1-1
bzip2 1.0.8-6
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240306-1
coreutils 9.5-1
cryptsetup 2.7.2-1
curlftpfs 0.9.2-8
deluge-gtk 1:2.1.1-5
dex 0.9.0-1
dialog 1:1.3_20240307-2
dmenu 5.3-3
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
docker 1:26.1.4-1
docker-compose 2.27.1-1
dosfstools 4.2-3
downgrade 11.3.0-1.1
dracut 102-1
dunst 1.11.0-1
dynamips 0.2.23-1
dynamips-debug 0.2.23-1
e2fsprogs 1.47.1-4
ecryptfs-utils 111-8
efibootmgr 18-3
elfutils 0.191-3
entr 5.5-1
ethtool 1:6.7-1
exfatprogs 1.2.3-1
f2fs-tools 1.16.0-2
fatresize 1.1.0-1
feh 3.10.2-1
festival 2.5.0-5
ffmpegthumbnailer 2.2.2-5
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firedragon 1:11.13.3-1.1
firefox 126.0.1-1
flameshot 12.1.0-3
flashfocus-git 2.4.1.r1.gdbe7a36-1.1
freetype2 2.13.2-1
fscrypt 0.3.5-1
fsearch 0.2.3-1.2
fwupd 1.9.20-1
galculator 2.1.4-8
garuda-assistant 2.7.6-1
garuda-boot-options 1.0.4-1
garuda-browser-settings 1.2.4-1
garuda-common-settings 2.6.26-1
garuda-dracut-support 1.1.0-1
garuda-fish-config 1.5.23-1
garuda-gamer 1.1.9-1
garuda-hooks 2.11.1-1
garuda-hotfixes 1.1.2-1
garuda-i3-settings 1.2.7-1
garuda-icons r41.38b5d94-1
garuda-network-assistant 1.1.3-1
garuda-settings-manager 1.0.5-3
garuda-setup-assistant 3.1.12-1
garuda-system-maintenance 3.0.0-2
garuda-video-linux-config 2:1.1.6-1
garuda-wallpapers r92.046ab18-1
garuda-welcome 1.2.11-1
garuda-zsh-config 1.1.10-1
gawk 5.3.0-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
geany 2.0-1
geary 1:46.0-1
gestures 0.3.1-1.3
gettext 0.22.5-1
